"parameter","Fagus sylvatica","Pinus sylvestris"
"beta_fol",7,7
"eta_11_fol",0.36,0.36
"e0_fol",0.25,0.25
"fc_fol",0.5,0.5
"delay_fol",0,0
"q0_fol",1.1,1.1
"z_leaves",0.5,0.5
"beta_root",7,7
"eta_11_root",0.36,0.36
"e0_root",0.25,0.25
"fc_root",0.5,0.5
"delay_root",0,0
"q0_root",1.1,1.1
"z_root",0.5,0.5
"beta_bran",7,7
"eta_11_bran",0.36,0.36
"e0_bran",0.25,0.25
"fc_bran",0.5,0.5
"delay_bran",0,0
"q0_bran",1.1,1.1
"z_branch",0.5,0.5
"beta_stem",7,7
"eta_11_stem",0.36,0.36
"e0_stem",0.25,0.25
"fc_stem",0.5,0.5
"delay_stem",0,0
"q0_stem",1.1,1.1
"z_stem",0.3,0.3
