"parameter","Fagus sylvatica","Pinus sylvestris"
"Dscale0",0.194387983915586,0.278001574955498
"DscaleB",1.2246192,1.1518027
"Dscalerh",0,0
"Dscalet",0.1277694,0
"DscaleC",0,0.0542777
"Dshape0",0.788101019504578,1.22831560004594
"DshapeB",0.3161924,0
"Dshaperh",1.6142477,1.1889634
"Dshapet",0,0
"DshapeC",-0.1170241,0.2143678
"Dlocation0",1.63609188331675,0.987237144919177
"DlocationB",0.5046618,0.8720489
"Dlocationrh",-0.6263416,0.0225852
"Dlocationt",0,0
"DlocationC",0.0457864,-0.1061722
"wsscale0",0.0220944021262146,0.0900081101440601
"wsscaleB",2.604811,2.0841155
"wsscalerh",-1.814874,0
"wsscalet",0.320978,0.2714963
"wsscaleC",0.089823,-0.1222255
"wsshape0",0.645865694542101,1.13393524443246
"wsshapeB",0.2687072,0
"wsshaperh",1.7403653,0.9449483
"wsshapet",0,0
"wsshapeC",-0.1429322,0.1220279
"wslocation0",0.142726795082427,0.227788890002282
"wslocationB",1.028025,2.203662
"wslocationrh",-3.499751,0
"wslocationt",0.453181,-0.418721
"wslocationC",0.207966,0
