"","Plot_ID","n_months","var_name","sim_value","obs_value","residual_value"
"1",1,72,"stems_n",2089,2088,-1
"2",1,171,"stems_n",889,1445,556
"3",1,209,"stems_n",889,889,-1.13686837721616e-13
"4",2,72,"stems_n",2089,2100,11
"5",2,168,"stems_n",1300,1311,11
"6",2,239,"stems_n",933,1112,179
"7",2,275,"stems_n",756,799,43
"8",2,397,"stems_n",622,822,200
"9",3,72,"stems_n",2267,2267,0
"10",3,168,"stems_n",1411,1411,2.27373675443232e-13
"11",3,239,"stems_n",1000,1289,289
"12",3,275,"stems_n",711,744,32.9999999999999
"13",3,397,"stems_n",656,744,88
"14",4,72,"stems_n",1367,2156,789
"15",4,168,"stems_n",933,1366,433
"16",4,239,"stems_n",400,1466,1066
"17",5,72,"stems_n",2333,2334,1
"18",5,168,"stems_n",1456,1545,88.9999999999998
"19",5,239,"stems_n",1000,1411,411
"20",5,275,"stems_n",589,803,214
"21",5,400,"stems_n",581,747,166
"22",6,72,"stems_n",1800,1800,0
"23",6,168,"stems_n",1278,1278,0
"24",6,209,"stems_n",811,800,-10.9999999999999
"25",7,72,"stems_n",1422,2100,678
"26",7,168,"stems_n",944,1422,478
"27",7,209,"stems_n",944,1888,944
"28",8,72,"stems_n",3356,3356,0
"29",8,168,"stems_n",1956,2011,55
"30",8,240,"stems_n",1144,1211,67
"31",8,275,"stems_n",1078,1110,32
"32",8,398,"stems_n",1000,1088,88
"33",9,72,"stems_n",1833,1833,0
"34",9,171,"stems_n",778,1145,367
"35",9,240,"stems_n",778,1211,433
"36",9,275,"stems_n",344,366,22
"37",9,398,"stems_n",311,333,22
"38",10,72,"stems_n",1711,1734,23
"39",10,171,"stems_n",822,1266,444
"40",10,240,"stems_n",822,1100,278
"41",10,275,"stems_n",544,544,-1.13686837721616e-13
"42",10,398,"stems_n",544,544,0
"43",11,72,"stems_n",2244,2245,1
"44",11,171,"stems_n",989,1489,500
"45",11,209,"stems_n",989,967,-22
"46",12,72,"stems_n",2400,2467,67
"47",12,171,"stems_n",933,1455,522
"48",12,209,"stems_n",933,889,-43.9999999999999
"49",13,72,"stems_n",1700,1711,11
"50",13,171,"stems_n",722,1266,544
"51",13,209,"stems_n",722,722,1.13686837721616e-13
"52",14,72,"stems_n",2644,2688,44
"53",14,171,"stems_n",956,1879,923
"54",14,239,"stems_n",956,1523,567
"55",14,275,"stems_n",389,1065,676
"56",14,398,"stems_n",389,981,592
"57",15,72,"stems_n",2900,2911,11
"58",15,171,"stems_n",1111,2011,900
"59",15,239,"stems_n",1111,1344,233
"60",15,275,"stems_n",878,921,43
"61",15,398,"stems_n",678,989,311
"62",16,72,"stems_n",2078,2089,11
"63",16,171,"stems_n",822,1500,678
"64",16,209,"stems_n",822,822,-1.13686837721616e-13
"65",17,72,"stems_n",2022,2066,44
"66",17,171,"stems_n",689,1444,755
"67",17,240,"stems_n",689,1289,600
"68",18,72,"stems_n",2511,2522,11
"69",18,171,"stems_n",956,1700,744
"70",18,239,"stems_n",956,1112,156
"71",18,275,"stems_n",800,800,0
"72",18,398,"stems_n",778,822,44
"73",19,72,"stems_n",2456,2467,11
"74",19,171,"stems_n",900,1812,912
"75",19,239,"stems_n",900,922,21.9999999999999
"76",19,275,"stems_n",878,878,0
"77",19,398,"stems_n",778,956,178
"78",20,72,"stems_n",2600,2656,56
"79",20,174,"stems_n",833,1644,811
"80",20,240,"stems_n",833,1144,311
"81",20,275,"stems_n",522,533,11
"82",20,398,"stems_n",489,533,44
"83",21,72,"stems_n",2289,2289,0
"84",21,171,"stems_n",778,1489,711
"85",21,209,"stems_n",778,778,0
"86",22,72,"stems_n",1344,1955,611
"87",22,171,"stems_n",756,1345,589
"88",22,209,"stems_n",756,756,0
